Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,電話番号_数字,時間外の電話番号_数字,住所_正規化,住所_都道府県除く,市区町村_推定,住所_残り,データ時点,データ出典_URL,データファイル_URL
5975,茨城県,ヤックスドラッグ阿見薬局,茨城県稲敷郡阿見町中央１－１３－２２,0298912388,,1,,https://yacs.jp/store/store-337/,月～金：9:00-18:00、土：9:00-13:00、14:00-18:00,有,0298912388,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5976,茨城県,ウエルシア薬局阿見岡崎店,茨城県稲敷郡阿見町岡崎３－８－１,0298913288,4,1,,,月～土：09:00〜14:00 15:00〜19:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5977,茨城県,ハート薬局,茨城県つくば市面野井１００４－４,0298933388,1,1,,http://www.heart-yakkyoku.jp,月～水・金；9：00～19：00、木；9：00～17：00、土；9：00～14：00,有,05058979348,個室,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5978,茨城県,つかもと調剤薬局下根店,茨城県牛久市ひたち野東３－２－２,0298933777,1,1,,https://store.ainj.co.jp/detail/1100925/,月〜水、金:9:00-19:00 木:9:00-17:00 土:9:00-13:00,有,0298933777,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5979,茨城県,ウエルシア薬局つくば陣場店,茨城県つくば市谷田部８７２番地,0298934782,1,2,,https://www.welcia-yakkyoku.co.jp/,月・火・金：9:00~18:00 水：9:00~19:00 木：9:00~12:30 13:30~18:00 土：9:00~14:00 15:00~18:00 ,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5980,茨城県,たなか薬局,茨城県土浦市田中３－１７６２－２,0298963347,,1,,http://cureplus.co.jp,月〜水、金：8:30-18:30、木：8:30-16:30、土：8:30-13:00,有,0298963347,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5981,茨城県,ウエルシア薬局牛久栄町店,茨城県牛久市栄町４－２,0298968045,2,,,,月～金：9:00～13:00/14:00～16:30,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5983,茨城県,高千穂薬局,茨城県石岡市東石岡４－１１－２７,0299261141,,1,,www.takachiho-ph.com/,月～金：9：00-19：00　土：9：00-18：00,有,08079761141,個室,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5984,茨城県,ウエルシア薬局小美玉美野里店,茨城県小美玉市羽鳥２９０８－３,0299287638,,2,,https://www.welcia-yakkyoku.co.jp,月～土：10:00～19:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5985,茨城県,ライズ調剤薬局石岡店,茨城県石岡市府中１－６－１０,0299352233,1,,,https://www.rise-pharm.com/,月・火・木・金：8:30-18:00、水・土：8:30-16:30,,,個室,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5986,茨城県,ウエルシア薬局石岡杉並店,茨城県石岡市石岡２２８０－２,0299353771,,1,,https://store.welcia.co.jp/welcia/spot/detail?code=6226D,月～金：10:00-13:30、14:30-18:00、土：10:00-15:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5987,茨城県,かのこ薬局,茨城県石岡市鹿の子２－９－２,0299354040,1,,,http://www.abcdrug.co.jp/,月火木金：9：00-18：00、水：8：00-16：00、土：9：00-12：30,有,0299354040,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5988,茨城県,ウエルシア薬局小美玉玉里店,茨城県小美玉市田木谷２１２‐１,0299371108,4,1,,https://www.welcia-yakkyoku.co.jp/,月～土：9:00-18:00,,,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5989,茨城県,ウエルシア薬局石岡八郷店,茨城県石岡市下林２７８,0299448370,,1,,https://store.welcia.co.jp/welcia/spot/detail?code=6164D,"月～金: 10:00-14:00,15:00-18:00  ",,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5990,茨城県,さくら薬局行方玉造店,茨城県行方市若海７９３－７,0299566111,,1,,https://www.kraft-net.co.jp/sakura/store/3911/,月~金9：00～18：00、土9：00～13：00,有,0299566111,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5991,茨城県,なの花薬局東石岡店,茨城県石岡市東石岡５－２－３６,0299567311,,1,,higashiishioka@msnw.co.jp,月・火・木・金：8:30-18:00、水：8:30-13:00、土8:30-13:00（第２・４）,有,0299567311,スタッフ休憩室；他者のいない時間対応,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5992,茨城県,アイン薬局潮来店,茨城県潮来市辻４１６－１,0299622255,1,,,https://www.ainj.co.jp,月〜水、金：9:00-18:00、木:9:00-17:00、土：9:00-17:15,有,0299622255,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5993,茨城県,ウエルシア薬局潮来新宮南店,茨城県潮来市新宮南１４３７－１,0299671022,2,1,,https://www.welcia-yakkyoku.co.jp/,月～金：9:00～18:00　土：10:00～14:00　15:00～17:00,有,0299671022,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5994,茨城県,さくら薬局行方麻生店,茨城県行方市麻生１１６４－４,0299720385,1,,,https://www.kraft-net.co.jp/sakura/store/3698/,月～水・金：9:00～17:00、土：9:00～13:00,有,0299720385,他者のいない時間対応,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5995,茨城県,ウエルシア薬局稲敷釜井店,茨城県稲敷市釜井４３５－１,0299798001,,1,,https://www.welcia-yakkyoku.co.jp/,月～金：9:00-14:00、15:00-18:00、土：9:00-14:00,有,0299798001,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5996,茨城県,ウエルシア薬局潮来須賀南店,茨城県潮来市須賀南２８９,0299801031,1,,,https://www.welcia-yakkyoku.co.jp/,月〜金：10:00-18:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5997,茨城県,ウエルシア行方麻生店,茨城県行方市麻生３２８９－４６,0299806058,,4,,,月～金：9:00-19:00、土：9:00-18:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5998,茨城県,ユニスマイル薬局鹿嶋東山店,茨城県鹿嶋市宮中１９９５－６８,0299831156,,1,,https://unismile.co.jp/shop/kashimahigashiyama/,月～金:9:00～18:30、土:9:00～13:00,有,0299831156,他者のいない時間対応,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5999,茨城県,ユニスマイル薬局鹿嶋平井店,茨城県鹿嶋市平井１３４５－７,0299834895,2,,,,月～金:9:00-18:30 土:9:00-15:30,有,0299834895,個室,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6000,茨城県,さくら薬局三笠山店,茨城県鹿嶋市宮中２０６２－９,0299838227,,1,,https://www.kraft-net.co.jp/sakura/store/3136/,月、火、木～土：9:00-17:30　日：9:00-12:30（第2日曜を除く）,有,0299838227,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6001,茨城県,薬局与市鹿嶋宮中店,茨城県鹿嶋市宮中２９７－１２,0299844141,,1,,https://pharmacy-yoichi.com,月・水　9：00～18：00　火・金　9：00～19：00　木　9：00～17：00　土　第1．3．5日　9：00～13：00　,有,0299844141,パーテーション,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6002,茨城県,ウエルシア薬局鹿嶋緑ヶ丘店,茨城県鹿嶋市緑ヶ丘４－６－７,0299850331,2,1,,,月〜金:10:00-19:00、土:10:00-14:00、15:00-18:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6003,茨城県,ヤックスドラッグ鹿嶋薬局,茨城県鹿嶋市厨３－１０－１,0299851562,,2,,,毎日：9:30-18:00,有,0299851562,個室,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6004,茨城県,ウエルシア薬局鹿嶋平井店,茨城県鹿嶋市旭ヶ丘２－８－１,0299852351,,1,,https://store.welcia.co.jp/welcia/spot/detail?code=6328D,"月～金10:00-14:00,15:00-18:00",,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6005,茨城県,ウエルシア薬局神栖平泉店,茨城県神栖市平泉１－４,0299900868,1,2,,https://www.welcia-yakkyoku.co.jp/,月～金：9:00-19:00、土：9:00-14:00 15:00-18:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6006,茨城県,ウエルシア薬局神栖堀割店,茨城県神栖市堀割３丁目４－３,0299901368,,1,,https://www.welcia-yakkyoku.co.jp/,月～金：10:00～14:00　15:00～18:00　土日祝日：休み,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6007,茨城県,田辺薬局鹿島神栖店,茨城県神栖市平泉東１－６４－２０４,0299901527,3,1,,,月・金：9:00-18:30、火・水：9:00-18:00、木・土：9:00-17:00、日：9:00-12:00,,,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6008,茨城県,カムラ薬局,茨城県神栖市賀２１０８－２０５,0299901861,,1,,https://www.firstmedicalkamura.com/,月～金：9:00-18:00、土：9:00-15:00,有,0299901863,衝立；他者のいない時間対応,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6009,茨城県,ウエルシア薬局鹿嶋宮津台店,茨城県鹿嶋市宮津台１５１－５２,0299907028,2,1,,https://www.welcia-yakkyoku.co.jp/,月～金：10:00-19:00、土：10:00-14:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6010,茨城県,ウエルシア薬局鹿嶋プラザ店,茨城県鹿嶋市宮中字東山２８９－１,0299907738,1,,,,月～金：9:00-18:00、土：9:00-13:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6011,茨城県,あい薬局,茨城県神栖市大野原中央３－５－１,0299922887,1,,,https://www.kusuri-ai.com/,月～金：9:00～18:00　土：9:00～12:00,有,09085001992,衝立；他者のいない時間対応,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6012,茨城県,ウエルシア薬局神栖中央店,茨城県神栖市神栖１－５－６,0299935083,2,1,,https://store.welcia.co.jp/welcia/spot/detail?code=6211D,月～金：9:00～18:00、土：9:00～14:00 15:00～17:00、祝日：9:00～13:00 14:00～17:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6013,茨城県,ヤックスドラッグオークビレッジかみす薬局,茨城県神栖市大野原４丁目８番６７－４号,0299945981,,1,,,月～土：9：00-13：00、14：00-18：00,,,個室,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6014,茨城県,ウエルシア薬局神栖知手中央店,茨城県神栖市知手中央６－６－１９,0299950157,2,4,,,月～金：9:00-19:00、土：9:00-18:00、日祝：9:00-13:00　14:00-17:00,有,0299950157,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6015,茨城県,田辺薬局かみす賀店,茨城県神栖市賀２１０８−１５６,0299955671,1,,,,月〜金：9:00〜17:30、土：9:00〜14:00,有,07024710313,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6016,茨城県,さくら薬局知手店,茨城県神栖市知手中央１丁目１５－３６,0299968171,,1,,,月～水、金、土：9:00-18:00,,,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6017,東京都,龍生堂薬局ワセダ東店,東京都新宿区高田馬場１－６－１６,0332056122,,1,,https://www.ryuseido.co.jp,月～土：9:30-21:00、日・祝：10:00-20:00,有,07042484216,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6018,東京都,ことぶき薬局末広橋店,東京都中野区中央１丁目２５−３尾崎ビル１Ｆ,0332271907,1,,,,月～金：9:00-18:45、土：9:00-14:00,,,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6019,東京都,さくら薬局神田駅前店,東京都千代田区内神田３－２１－７有田ビル１階,0332546006,,1,,https://store.ainj.co.jp/detail/1102380/,月～金：9:30-21:00、土：10:00-19:00,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6020,東京都,弁天町薬局,東京都新宿区弁天町８６－３,0332683810,1,,,,月〜土：9:00-18:00 土は第1.第3のみ,,,他者のいない時間対応,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6021,東京都,アポロン薬局,東京都杉並区高井戸東３丁目２８－５,0333336676,1,,,https://www.apollonyakkyoku.jp,月〜水、金:9:00〜18:00、土:9:00〜13:00,有,09030406676,他者のいない時間対応,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6022,東京都,龍生堂薬局アイランド店,東京都新宿区西新宿６－４－１,0333462192,2,1,,,月〜土:8:30-19:00、日:9:30-19:00,,,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6023,東京都,さくら薬局四谷店,東京都新宿区四谷三栄町４番８号谷ヶ崎ビル１階,0333581130,1,,,,月～金：9:00-18:00、土：9:00-13:00,有,0333581130,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6024,東京都,幡ヶ谷調剤薬局,東京都渋谷区三丁目８番６号,0333735601,1,,,https://www.kraft-net.co.jp/sakura/store/4002/,月～金：9：00-18：00　土：9：00-12：00,有,0333735601,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6025,東京都,ことぶき薬局新中野店,東京都中野区本町４丁目１９番１２号しおのビル１階,0333838101,1,,,,月〜金:9:00-19:00 土:9:00-13:30,,,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6026,東京都,なつみ薬局,東京都杉並区井草４－５－２ザ・メデル１ＦーＣ,0333951193,4,,,,月〜金　9:00〜18:30、土　9:00〜13:00,有,08071151193,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6027,東京都,ことぶき薬局青山店,東京都港区北青山３－１２－２武村ビル１－Ａ,0334995165,1,,,,月～金：9:00-19:00、土：10:00-15:00,有,08068661741,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6028,東京都,さくら薬局築地店,東京都中央区築地１－９－９細川築地ビル８階,0335473646,1,,,https://www.kraft-net.co.jp/sakura/store/3395/,月・火・木9：00-18：00　水・金・土9：00-19：00,有,0335473646,他者と十分な距離の確保,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6029,東京都,越前堀薬局,東京都中央区新川２－１７－１２Ｅビル１Ｆ,0335519933,1,1,,,月〜金　8:00-19:30、土:8:30-14:00090,有,09058103728,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6030,東京都,アイン薬局門前仲町店,東京都江東区富岡１－２６－２０ＮＭＴビル１Ｆ,0336308610,1,,,,月～金：9:00～19:00、土：9:00～18:00,有,0336308610,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6031,東京都,有限会社森薬局,東京都墨田区両国２－１８－１,0336315359,,2,,,月〜金：9:00-19:00、土：9:00-14:00,有,09032337268,衝立,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6032,東京都,東京中央薬局,東京都江戸川区東葛西六丁目２７番１５号Ｂ号室,0336871150,,1,,https://www.jmsys.co.jp/pharmacy/shop-detail_256/,月～金：9:00-19:00、土・日・祝：9:00-18:00,,,他者のいない時間対応,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
